 v-sweep        v(v_out)       v(d5k)         v(u6a_out)     v(u6b_out)     v(fb)          v(u6a_ideal)   v(u6b_ref)    
 3.6400000e+00  3.6400000e+00  3.6264684e+00  3.6399999e+00  3.6290030e+00  1.3531594e+00  3.6400000e+00  3.6290030e+00 
 3.6500000e+00  3.6500000e+00  3.6364312e+00  3.6499999e+00  3.6389728e+00  1.3568768e+00  3.6500000e+00  3.6389728e+00 
 3.6600000e+00  3.6600000e+00  3.6463941e+00  3.6599999e+00  3.6489426e+00  1.3605943e+00  3.6600000e+00  3.6489426e+00 
 3.6700000e+00  3.6700000e+00  3.6563569e+00  3.6699999e+00  3.6589124e+00  1.3643118e+00  3.6700000e+00  3.6589124e+00 
 3.6800000e+00  3.6800000e+00  3.6663197e+00  3.6799999e+00  3.6688822e+00  1.3680292e+00  3.6800000e+00  3.6688822e+00 
 3.6900000e+00  3.6900000e+00  3.6762825e+00  3.6899999e+00  3.6788519e+00  1.3717467e+00  3.6900000e+00  3.6788520e+00 
 3.7000000e+00  3.7000000e+00  3.6862454e+00  3.6999999e+00  3.6888217e+00  1.3754642e+00  3.7000000e+00  3.6888218e+00 
 3.7100000e+00  3.7100000e+00  3.6962082e+00  3.7099999e+00  3.6987915e+00  1.3791816e+00  3.7100000e+00  3.6987915e+00 
 3.7200000e+00  3.7200000e+00  3.7061710e+00  3.7199999e+00  3.7087613e+00  1.3828991e+00  3.7200000e+00  3.7087613e+00 
 3.7300000e+00  3.7300000e+00  3.7161338e+00  3.7299999e+00  3.7187311e+00  1.3866166e+00  3.7300000e+00  3.7187311e+00 
 3.7400000e+00  3.7400000e+00  3.7260967e+00  3.7399999e+00  3.7287009e+00  1.3903341e+00  3.7400000e+00  3.7287009e+00 
 3.7500000e+00  3.7500000e+00  3.7360595e+00  3.7499999e+00  3.7386707e+00  1.3940515e+00  3.7500000e+00  3.7386707e+00 
 3.7600000e+00  3.7600000e+00  3.7460223e+00  3.7599999e+00  3.7486405e+00  1.3977690e+00  3.7600000e+00  3.7486405e+00 
 3.7700000e+00  3.7700000e+00  3.7559852e+00  3.7699999e+00  3.7586103e+00  1.4014865e+00  3.7700000e+00  3.7586103e+00 
 3.7800000e+00  3.7800000e+00  3.7659480e+00  3.7799999e+00  3.7685800e+00  1.4052039e+00  3.7800000e+00  3.7685801e+00 
 3.7900000e+00  3.7900000e+00  3.7759108e+00  3.7899999e+00  3.7785498e+00  1.4089214e+00  3.7900000e+00  3.7785498e+00 
 3.8000000e+00  3.8000000e+00  3.7858736e+00  3.7999999e+00  3.7885196e+00  1.4126389e+00  3.8000000e+00  3.7885196e+00 
 3.8100000e+00  3.8100000e+00  3.7958365e+00  3.8099999e+00  3.7984894e+00  1.4163564e+00  3.8100000e+00  3.7984894e+00 
 3.8200000e+00  3.8200000e+00  3.8057993e+00  3.8199999e+00  3.8084592e+00  1.4200738e+00  3.8200000e+00  3.8084592e+00 
 3.8300000e+00  3.8300000e+00  3.8157621e+00  3.8299999e+00  3.8184290e+00  1.4237913e+00  3.8300000e+00  3.8184290e+00 
 3.8400000e+00  3.8400000e+00  3.8257249e+00  3.8399999e+00  3.8283988e+00  1.4275088e+00  3.8400000e+00  3.8283988e+00 
 3.8500000e+00  3.8500000e+00  3.8356878e+00  3.8499999e+00  3.8383686e+00  1.4312262e+00  3.8500000e+00  3.8383686e+00 
 3.8600000e+00  3.8600000e+00  3.8456506e+00  3.8599999e+00  3.8483384e+00  1.4349437e+00  3.8600000e+00  3.8483384e+00 
 3.8700000e+00  3.8700000e+00  3.8556134e+00  3.8699999e+00  3.8583081e+00  1.4386612e+00  3.8700000e+00  3.8583082e+00 
 3.8800000e+00  3.8800000e+00  3.8655762e+00  3.8799999e+00  3.8682779e+00  1.4423787e+00  3.8800000e+00  3.8682779e+00 
 3.8900000e+00  3.8900000e+00  3.8755391e+00  3.8899999e+00  3.8782477e+00  1.4460961e+00  3.8900000e+00  3.8782477e+00 
 3.9000000e+00  3.9000000e+00  3.8855019e+00  3.8999999e+00  3.8882175e+00  1.4498136e+00  3.9000000e+00  3.8882175e+00 
 3.9100000e+00  3.9100000e+00  3.8954647e+00  3.9099999e+00  3.8981873e+00  1.4535311e+00  3.9100000e+00  3.8981873e+00 
 3.9200000e+00  3.9200000e+00  3.9054275e+00  3.9199999e+00  3.9081571e+00  1.4572485e+00  3.9200000e+00  3.9081571e+00 
 3.9300000e+00  3.9300000e+00  3.9153904e+00  3.9299999e+00  3.9181269e+00  1.4609660e+00  3.9300000e+00  3.9181269e+00 
 3.9400000e+00  3.9400000e+00  3.9253532e+00  3.9399999e+00  3.9280967e+00  1.4646835e+00  3.9400000e+00  3.9280967e+00 
 3.9500000e+00  3.9500000e+00  3.9353160e+00  3.9499999e+00  3.9380664e+00  1.4684009e+00  3.9500000e+00  3.9380665e+00 
 3.9600000e+00  3.9600000e+00  3.9452788e+00  3.9599999e+00  3.9480362e+00  1.4721184e+00  3.9600000e+00  3.9480363e+00 
 3.9700000e+00  3.9700000e+00  3.9552417e+00  3.9699999e+00  3.9580060e+00  1.4758359e+00  3.9700000e+00  3.9580060e+00 
 3.9800000e+00  3.9800000e+00  3.9652045e+00  3.9799999e+00  3.9679758e+00  1.4795534e+00  3.9800000e+00  3.9679758e+00 
 3.9900000e+00  3.9900000e+00  3.9751673e+00  3.9899999e+00  3.9779456e+00  1.4832708e+00  3.9900000e+00  3.9779456e+00 
 4.0000000e+00  4.0000000e+00  3.9851301e+00  3.9999999e+00  3.9879154e+00  1.4869883e+00  4.0000000e+00  3.9879154e+00 
 4.0100000e+00  4.0100000e+00  3.9950930e+00  4.0099999e+00  3.9978852e+00  1.4907058e+00  4.0100000e+00  3.9978852e+00 
 4.0200000e+00  4.0200000e+00  4.0050558e+00  4.0199999e+00  4.0078550e+00  1.4944232e+00  4.0200000e+00  4.0078550e+00 
 4.0300000e+00  4.0300000e+00  4.0150186e+00  4.0299999e+00  4.0178248e+00  1.4981407e+00  4.0300000e+00  4.0178248e+00 
 4.0400000e+00  4.0400000e+00  4.0249814e+00  4.0399999e+00  4.0277945e+00  1.5018582e+00  4.0400000e+00  4.0277946e+00 
 4.0500000e+00  4.0500000e+00  4.0349443e+00  4.0499999e+00  4.0377643e+00  1.5055757e+00  4.0500000e+00  4.0377644e+00 
 4.0600000e+00  4.0600000e+00  4.0449071e+00  4.0599999e+00  4.0477341e+00  1.5092931e+00  4.0600000e+00  4.0477341e+00 
 4.0700000e+00  4.0700000e+00  4.0548699e+00  4.0699999e+00  4.0577039e+00  1.5130106e+00  4.0700000e+00  4.0577039e+00 
 4.0800000e+00  4.0800000e+00  4.0648327e+00  4.0799999e+00  4.0676737e+00  1.5167281e+00  4.0800000e+00  4.0676737e+00 
 4.0900000e+00  4.0900000e+00  4.0747956e+00  4.0899999e+00  4.0776435e+00  1.5204455e+00  4.0900000e+00  4.0776435e+00 
 4.1000000e+00  4.1000000e+00  4.0847584e+00  4.0999999e+00  4.0876133e+00  1.5241630e+00  4.1000000e+00  4.0876133e+00 
 4.1100000e+00  4.1100000e+00  4.0947212e+00  4.1099999e+00  4.0975831e+00  1.5278805e+00  4.1100000e+00  4.0975831e+00 
 4.1200000e+00  4.1200000e+00  4.1046840e+00  4.1199999e+00  4.1075529e+00  1.5315979e+00  4.1200000e+00  4.1075529e+00 
 4.1300000e+00  4.1300000e+00  4.1146469e+00  4.1299999e+00  4.1175226e+00  1.5353154e+00  4.1300000e+00  4.1175227e+00 
 4.1400000e+00  4.1400000e+00  4.1246097e+00  4.1399999e+00  4.1274924e+00  1.5390329e+00  4.1400000e+00  4.1274924e+00 
 4.1500000e+00  4.1500000e+00  4.1345725e+00  4.1499999e+00  4.1374622e+00  1.5427504e+00  4.1500000e+00  4.1374622e+00 
 4.1600000e+00  4.1600000e+00  4.1445353e+00  4.1599999e+00  4.1474320e+00  1.5464678e+00  4.1600000e+00  4.1474320e+00 
 4.1700000e+00  4.1700000e+00  4.1544982e+00  4.1699999e+00  4.1574018e+00  1.5501853e+00  4.1700000e+00  4.1574018e+00 
 4.1800000e+00  4.1800000e+00  4.1644610e+00  4.1799999e+00  4.1673716e+00  1.5539028e+00  4.1800000e+00  4.1673716e+00 
 4.1900000e+00  4.1900000e+00  4.1744238e+00  4.1899999e+00  4.1773414e+00  1.5576202e+00  4.1900000e+00  4.1773414e+00 
 4.2000000e+00  4.2000000e+00  4.1843866e+00  4.1999999e+00  4.1873112e+00  1.5613377e+00  4.2000000e+00  4.1873112e+00 
 4.2100000e+00  4.2100000e+00  4.1943495e+00  4.2099999e+00  4.1972810e+00  1.5650552e+00  4.2100000e+00  4.1972810e+00 
 4.2200000e+00  4.2200000e+00  4.2043123e+00  4.2199999e+00  4.2072507e+00  1.5687727e+00  4.2200000e+00  4.2072508e+00 
 4.2300000e+00  4.2300000e+00  4.2142751e+00  4.2299999e+00  4.2172205e+00  1.5724901e+00  4.2300000e+00  4.2172205e+00 
 4.2400000e+00  4.2400000e+00  4.2242379e+00  4.2399999e+00  4.2271903e+00  1.5762076e+00  4.2400000e+00  4.2271903e+00 
 4.2500000e+00  4.2500000e+00  4.2342008e+00  4.2499999e+00  4.2371601e+00  1.5799251e+00  4.2500000e+00  4.2371601e+00 
 4.2600000e+00  4.2600000e+00  4.2441636e+00  4.2599999e+00  4.2471299e+00  1.5836425e+00  4.2600000e+00  4.2471299e+00 
 4.2700000e+00  4.2700000e+00  4.2541264e+00  4.2699999e+00  4.2570997e+00  1.5873600e+00  4.2700000e+00  4.2570997e+00 
 4.2800000e+00  4.2800000e+00  4.2640892e+00  4.2799999e+00  4.2670695e+00  1.5910775e+00  4.2800000e+00  4.2670695e+00 
 4.2900000e+00  4.2900000e+00  4.2740521e+00  4.2899999e+00  4.2770393e+00  1.5947950e+00  4.2900000e+00  4.2770393e+00 
 4.3000000e+00  4.3000000e+00  4.2840149e+00  4.2999999e+00  4.2870090e+00  1.5985124e+00  4.3000000e+00  4.2870091e+00 
 4.3100000e+00  4.3100000e+00  4.2939777e+00  4.3099999e+00  4.2969788e+00  1.6022299e+00  4.3100000e+00  4.2969789e+00 
 4.3200000e+00  4.3200000e+00  4.3039405e+00  4.3199999e+00  4.3069486e+00  1.6059474e+00  4.3200000e+00  4.3069486e+00 
 4.3300000e+00  4.3300000e+00  4.3139034e+00  4.3299999e+00  4.3169184e+00  1.6096648e+00  4.3300000e+00  4.3169184e+00 
